"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Y9336EPH","book","1859","","Feestboekje voor de tweede jaarlijksche feestviering der typografische vereeniging De Nederlandsche Drukpers gevestigd te Amsterdam: op zondag 9 januarij 1859 in den Tuin der Nederlanden.","","","","","http://www.worldcat.org/oclc/152771841","","1859","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","Van Es","","Dutch","","","NL-AsdIISG","","Open WorldCat","","OCLC: 152771841","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSYRUEYR","book","1900","","Zangbundel voor de 51ste jaarvergadering, op ... 8 September 1900 ...","","","","","http://www.worldcat.org/oclc/122360917","","1900","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","","Rotterdam?","","","","NL-AsdIISG","","","","","","","","rotterdam1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z33PRYZU","journalArticle","1859","","Feestboekje voor de ... jaarlijksche feestviering der Typographische Vereeniging De Nederlandsche Drukpers, gevestigd te Amsterdam.","","","","","http://www.worldcat.org/oclc/73131055","","1859","2021-01-11 16:49:57","2021-01-29 15:56:25","","","","","","","","","","","","","","","nl","","","NL-AsdUvA","","","","Ook 1862: oude boekerij bibliotheek ZuidKennemerland","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2TZI3YAE","journalArticle","1861","","Feestliederen bij gelegenheid der buitengewone algemeene vergadering der typographische vereeniging De Nederlandsche drukpers, ter herinnering aan de onthulling van het standbeeld van Lourens Jansz. Coster op 16 Julij 1856 te Haarlem.","","","","","https://books.google.nl/books?id=uLZpAAAAcAAJ","","1861","2021-01-11 16:49:57","2021-02-12 08:36:17","","","","","","","","","","","","","","","Dutch","","","NL-AsdUvA","","","","","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGA2CMRR","book","1854","","Feestzangen der Typographische Vereeniging Nut en Genoegen te Utrecht onder bescherming van den edel-achtb. heer Mr. N.P.J. Kien burgemeester der stad.","","","","","https://books.google.nl/books?id=nzbtu-J4ir0C","","1854","2021-01-11 16:49:57","2021-02-12 08:40:00","","","","","","","","","","","","","","Utrecht","nl","","","NL-0100030000","","","","OCLC: 1089764085","","","","utrecht1851","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QFIJ2CB7","book","1855","","Feestbundel bij gelegenheid der vierde jaarlijksche feestviering van de Utrechtsche Typographische Vereeniging: Nut en Genoegen, onder bescherming van den edel-achtb. heer Mr. N.P.J. Kien, Burgemeester der stad Utrecht.","","","","","http://books.google.com/books?vid=KBNL:KBNLB030069974","","1855","2021-01-11 16:49:57","2021-03-05 17:00:24","","","","","","","","","","","","","","Utrecht","nl","","","NL-0100030000","","","","OCLC: 1089764091","","","","utrecht1851","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TY6NLEVL","book","1862","","Feestbundel ter gelegenheid der voorstelling, gegeven door het Het Werkende gezelschap der Typographische Vereeniging De Nederlandsche Drukpers: op 18 Julij 1862 in het Locaal Vliedzorg.","","","","","https://books.google.nl/books?id=2ShnAAAAcAAJ","","1862","2021-01-11 16:49:57","2021-02-12 08:35:49","2020-12-14 14:55:55","","","","","","","","","","","","","Amsterdam","Dutch","","","NL-AsdUvA","","","","OCLC: 1005699669","","","","amsterdam1857-1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W2R997LC","book","1861","","Feestliederen, bij de twaalfde jaarlijksche feestviering van de Amsterdamsche typographische vereeniging: Voorzorg en Genoegen, in de zaal Frascati: Koppermaandag, 7 januarij  1861.","","","","","http://www.worldcat.org/oclc/799286383","","1861","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","","Amsterdam","Dutch","","","NL-AsdRM","","","","","","","","amsterdam1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DYYME5XX","book","1864","","Feestliederen bij gelegenheid der vijftiende jaarlijksche feestviering van de Typographische Vereeniging: Voorzorg en Genoegen: in de zaal Frascati","","","","","http://www.worldcat.org/oclc/65904509","","1864","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","","Amsterdam","Dutch","","","NL-AsdUvA","","","","","","","","amsterdam1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHXGXUYV","book","1854","","Feestzang der Typographische Vereeniging 'Door Eendracht t' zaam Verbonden', te 's-Hertogenbosch","","","","","http://www.worldcat.org/oclc/150317330","","1854","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","","'s-Hertogenbosch","Dutch","","","NL-AsdUvA","","","","","","","","denbosch1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGDTMTV2","book","1865","","Feestliederen bij gelegenheid der zestiende jaarlijksche feestviering van de Typographische Vereeniging: Voorzorg en Genoegen: in de zaal Frascati : Koppermaandag, 9 januarij 1865","","","","","http://www.worldcat.org/oclc/69396661","","1865","2021-01-11 16:49:57","2021-03-05 16:48:56","","","","","","","","","","","","","","Amsterdam","nl","","","NL-AsdUvA","","","","","","","","amsterdam1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GSJHETUP","book","1859","","Feestliederen bij gelegenheid der negende jaarlijksche feestviering, van de typographische vereeniging Voorzorg en Genoegen, in de zaal Apollo, aan de Hoogesluis, te Amsterdam","","","","","http://www.worldcat.org/oclc/799286385","","1859","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","","Amsterdam","Dutch","","","NL-AsdRM","","","","","","","","amsterdam1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"US6ZMVZG","journalArticle","","","Feestliederen bij gelegenheid der .. jaarlijksche feestviering van de Typographische Vereeniging: Voorzorg en Genoegen ...","","","","","http://www.worldcat.org/oclc/73519903","","","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","","","Dutch","","","NL-AsdUvA","","","","","","","","amsterdam1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRJVN2IU","book","1862","","Feestliederen bij gelegenheid der twaalfde jaarlijksche feestviering van de Amsterdamsche Typographische Vereeniging: Voorzorg en genoegen in de zaal Frascati","","","","","http://www.worldcat.org/oclc/65833680","","1862","2021-01-11 16:49:57","2021-01-11 16:49:57","","","","","","","","","","","","","","Amsterdam","Dutch","","","NL-AsdUvA","","","","","","","","amsterdam1849","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
